listing_id,title,make,model,year,engine_cc,price_pkr,price_display,mileage_km,fuel_type,transmission,location,hero_image,image_db,listing_url,updated_at,scraped_at
11443234,Honda City 5th (GM2) Generation 2015 1.3 i-VTEC,Honda,City 5th (GM2) Generation  1.3 i-VTEC,2015,1300cc,3150000,PKR 31.5lacs,116050,Petrol,Manual,Peshawar,https://www.youtube.com/watch?v=-wCPrG4ZFbE,"['https://www.youtube.com/watch?v=-wCPrG4ZFbE', 'https://cache1.pakwheels.com/ad_pictures/1429/honda-city-i-vtec-2-2015-142944663.jpg', 'https://cache4.pakwheels.com/ad_pictures/1429/honda-city-i-vtec-2-2015-142944664.jpg', 'https://cache4.pakwheels.com/ad_pictures/1429/honda-city-i-vtec-2-2015-142944668.jpg', 'https://cache1.pakwheels.com/ad_pictures/1429/honda-city-i-vtec-2-2015-142944665.jpg']",https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-peshawar-11443234,Updated less than a minute ago,2026-05-08T14:57:59.627796
11459788,Nissan Clipper  2020 Rio G 4WD,Nissan,Clipper   Rio G 4WD,2020,660cc,4150000,PKR 41.5lacs,85000,Petrol,Automatic,Rawalpindi,https://cache4.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204372.jpg,"['https://cache4.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204372.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204373.jpg', 'https://cache1.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204374.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204375.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/nissan-clipper-rio-g-4wd-2020-143204376.jpg']",https://www.pakwheels.com/used-cars/nissan-clipper-2020-for-sale-in-rawalpindi-11459788,Updated less than a minute ago,2026-05-08T14:57:59.628814
11231678,MG HS  2021 Trophy,MG,HS   Trophy,2021,1500cc,6275000,PKR 62.75lacs,48000,Petrol,Automatic,Islamabad,https://cache1.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606672.jpg,"['https://cache1.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606672.jpg', 'https://cache4.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606676.jpg', 'https://cache4.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606675.jpg', 'https://cache2.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606674.jpg', 'https://cache3.pakwheels.com/ad_pictures/1396/mg-hs-2-trophy-2021-139606673.jpg']",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-11231678,Updated 1 minute ago,2026-05-08T14:57:59.629789
11459795,Toyota Corolla  2017 GLi Automatic 1.3 VVTi,Toyota,Corolla   GLi Automatic 1.3 VVTi,2017,1300cc,4250000,PKR 42.5lacs,70000,Petrol,Automatic,Islamabad,https://cache2.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2017-143204973.jpg,"['https://cache2.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2017-143204973.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2017-143204971.jpg', 'https://cache3.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2017-143204972.jpg', 'https://cache4.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2017-143204959.jpg', 'https://cache2.pakwheels.com/ad_pictures/1432/toyota-corolla-gli-vvti-automatic-2017-143204958.jpg']",https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-islamabad-11459795,Updated 1 minute ago,2026-05-08T14:57:59.630736
11442278,Hyundai Elantra  2024 GLS,Hyundai,Elantra   GLS,2024,2000cc,6395000,PKR 63.95lacs,28000,Petrol,Automatic,Lahore,https://cache1.pakwheels.com/ad_pictures/1429/hyundai-elantra-gls-9-2024-142928878.jpg,"['https://cache1.pakwheels.com/ad_pictures/1429/hyundai-elantra-gls-9-2024-142928878.jpg', 'https://cache1.pakwheels.com/ad_pictures/1429/hyundai-elantra-gls-9-2024-142929051.jpg', 'https://cache3.pakwheels.com/ad_pictures/1429/hyundai-elantra-gls-9-2024-142929027.jpg', 'https://cache3.pakwheels.com/ad_pictures/1429/hyundai-elantra-gls-9-2024-142929050.jpg', 'https://cache4.pakwheels.com/ad_pictures/1429/hyundai-elantra-gls-9-2024-142928885.jpg']",https://www.pakwheels.com/used-cars/hyundai-elantra-2024-for-sale-in-lahore-11442278,Updated 2 minutes ago,2026-05-08T14:57:59.631661
11425354,KIA Sportage  2019 FWD,KIA,Sportage   FWD,2019,2000cc,6360000,PKR 63.6lacs,71402,Petrol,Automatic,Islamabad,https://cache4.pakwheels.com/ad_pictures/1427/kia-sportage-fwd-2019-142730075.jpg,"['https://cache4.pakwheels.com/ad_pictures/1427/kia-sportage-fwd-2019-142730075.jpg', 'https://cache4.pakwheels.com/ad_pictures/1427/kia-sportage-fwd-2019-142730071.jpg', 'https://cache3.pakwheels.com/ad_pictures/1427/kia-sportage-fwd-2019-142730074.jpg', 'https://cache3.pakwheels.com/ad_pictures/1427/kia-sportage-fwd-2019-142730080.jpg', 'https://cache3.pakwheels.com/ad_pictures/1427/kia-sportage-fwd-2019-142730072.jpg']",https://www.pakwheels.com/used-cars/kia-sportage-2019-for-sale-in-islamabad-11425354,Updated 2 minutes ago,2026-05-08T14:57:59.632611
11372892,Hyundai Tucson  2021 AWD A/T Ultimate,Hyundai,Tucson   AWD A/T Ultimate,2021,2000cc,7300000,PKR 73lacs,40753,Petrol,Automatic,Lahore,https://cache2.pakwheels.com/ad_pictures/1418/hyundai-tucson-awd-a-t-ultimate-2021-141881326.jpg,"['https://cache2.pakwheels.com/ad_pictures/1418/hyundai-tucson-awd-a-t-ultimate-2021-141881326.jpg', 'https://cache4.pakwheels.com/ad_pictures/1418/hyundai-tucson-awd-a-t-ultimate-2021-141881329.jpg', 'https://cache3.pakwheels.com/ad_pictures/1418/hyundai-tucson-awd-a-t-ultimate-2021-141881352.jpg', 'https://cache4.pakwheels.com/ad_pictures/1418/hyundai-tucson-awd-a-t-ultimate-2021-141881332.jpg', 'https://cache3.pakwheels.com/ad_pictures/1418/hyundai-tucson-awd-a-t-ultimate-2021-141881345.jpg']",https://www.pakwheels.com/used-cars/hyundai-tucson-2021-for-sale-in-lahore-11372892,Updated 2 minutes ago,2026-05-08T14:57:59.633609
11301928,Mercedes Benz EQC  2020 400 4MATIC,Mercedes Benz,EQC   400 4MATIC,2020,cc,17000000,PKR 1.7crore,78870,Electric,Automatic,Islamabad,https://www.youtube.com/watch?v=kuqfJ0QnDk0,"['https://www.youtube.com/watch?v=kuqfJ0QnDk0', 'https://cache4.pakwheels.com/ad_pictures/1407/mercedes-benz-eqc-400-4matic-2020-140732659.jpg', 'https://cache1.pakwheels.com/ad_pictures/1407/mercedes-benz-eqc-400-4matic-2020-140732665.jpg', 'https://cache3.pakwheels.com/ad_pictures/1407/mercedes-benz-eqc-400-4matic-2020-140732660.jpg', 'https://cache4.pakwheels.com/ad_pictures/1407/mercedes-benz-eqc-400-4matic-2020-140732663.jpg']",https://www.pakwheels.com/used-cars/mercedes-benz-eqc-2020-for-sale-in-islamabad-11301928,Updated 3 minutes ago,2026-05-08T14:57:59.634838
11408549,Toyota Corolla  2019 GLi Automatic 1.3 VVTi,Toyota,Corolla   GLi Automatic 1.3 VVTi,2019,1300cc,4425000,PKR 44.25lacs,63309,Petrol,Automatic,Karachi,https://cache1.pakwheels.com/ad_pictures/1424/toyota-corolla-gli-vvti-automatic-2019-142402916.jpg,"['https://cache1.pakwheels.com/ad_pictures/1424/toyota-corolla-gli-vvti-automatic-2019-142402916.jpg', 'https://cache3.pakwheels.com/ad_pictures/1424/toyota-corolla-gli-vvti-automatic-2019-142402917.jpg', 'https://cache3.pakwheels.com/ad_pictures/1424/toyota-corolla-gli-vvti-automatic-2019-142402918.jpg', 'https://cache3.pakwheels.com/ad_pictures/1424/toyota-corolla-gli-vvti-automatic-2019-142402919.jpg', 'https://cache1.pakwheels.com/ad_pictures/1424/toyota-corolla-gli-vvti-automatic-2019-142402920.jpg']",https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-11408549,Updated 3 minutes ago,2026-05-08T14:57:59.635884
11264472,Changan Oshan X7  2022 FutureSense,Changan,Oshan X7   FutureSense,2022,1500cc,7750000,PKR 77.5lacs,36643,Petrol,Automatic,Peshawar,https://cache2.pakwheels.com/ad_pictures/1401/changan-oshan-x7-futuresense-2022-140132180.jpg,"['https://cache2.pakwheels.com/ad_pictures/1401/changan-oshan-x7-futuresense-2022-140132180.jpg', 'https://cache1.pakwheels.com/ad_pictures/1401/changan-oshan-x7-futuresense-2022-140132186.jpg', 'https://cache2.pakwheels.com/ad_pictures/1401/changan-oshan-x7-futuresense-2022-140132181.jpg', 'https://cache3.pakwheels.com/ad_pictures/1401/changan-oshan-x7-futuresense-2022-140132182.jpg', 'https://cache1.pakwheels.com/ad_pictures/1401/changan-oshan-x7-futuresense-2022-140132185.jpg']",https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-peshawar-11264472,Updated 3 minutes ago,2026-05-08T14:57:59.637052
